 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,IntDen,RawIntDen
98,pperpot_6K-2.tif:0098-0306,0.104534,23667.958266,14936,36408,5.977149,3.970069,5.976223,3.970832,1.296964,0.432361,0.307839,94.329978,2474.118114,14745138
99,pperpot_6K-2.tif:0099-0305,0.093964,23530.492857,15387,35150,6.524172,3.9682,6.523169,3.967882,1.214259,0.431347,0.27736,82.306574,2211.009651,13177076
100,pperpot_6K-2.tif:0100-0306,0.122153,25624.824176,12171,39117,11.381999,3.958047,11.382827,3.959914,1.348778,0.447566,0.347501,76.449662,3130.14071,18654872
101,pperpot_6K-2.tif:0101-0306,0.102689,22612.815359,12290,33616,7.079891,3.969728,7.080316,3.970699,1.218704,0.434528,0.300895,92.263743,2322.082504,13839043
102,pperpot_6K-2.tif:0102-0308,0.093628,23241.722222,14147,38400,9.213508,3.984094,9.211893,3.983161,1.25404,0.401376,0.297005,98.788758,2176.076168,12968881
103,pperpot_6K-2.tif:0103-0306,0.096648,24051.184028,12580,37576,10.284013,3.975183,10.283804,3.975454,1.199083,0.389685,0.315784,102.259665,2324.505255,13853482
104,pperpot_6K-2.tif:0104-0305,0.089937,27149.664179,16800,42959,2.766555,3.964725,2.766266,3.966489,1.124505,0.364551,0.314115,118.734382,2441.747992,14552220
105,pperpot_6K-2.tif:0105-0307,0.10185,26181.667216,15506,40474,3.308798,3.976467,3.308651,3.976733,1.206671,0.408039,0.31781,94.964689,2666.598172,15892272
106,pperpot_6K-2.tif:0106-0306,0.086077,24629.709552,14336,36652,4.913212,3.97223,4.914123,3.97219,1.115076,0.350335,0.312835,113.428641,2120.060444,12635041
107,pperpot_6K-2.tif:0107-0309,0.106716,27891.459119,14529,38748,2.227221,3.995674,2.229081,3.994412,1.221847,0.376269,0.36111,103.200918,2976.459227,17738968
108,pperpot_6K-2.tif:0108-0308,0.085406,24568.59332,12794,40216,4.380369,3.991511,4.380759,3.989813,1.116917,0.346997,0.313381,74.077959,2098.310053,12505414
109,pperpot_6K-2.tif:0109-0307,0.078023,22411.746237,11069,34794,7.616899,3.979428,7.616078,3.978854,1.063262,0.346052,0.287074,117.0897,1748.639308,10421462
110,pperpot_6K-2.tif:0110-0308,0.085406,23768.062868,12149,32413,5.46818,3.992096,5.469103,3.991771,1.084724,0.339545,0.32026,35.248694,2029.939794,12097944
111,pperpot_6K-2.tif:0111-0308,0.068459,22244.181373,12523,35157,8.679231,3.998238,8.679798,3.996531,1.011448,0.34819,0.250338,74.072277,1522.818619,9075626
112,pperpot_6K-2.tif:0112-0309,0.09044,25741.640074,11814,37955,3.834573,3.999147,3.834423,4.000125,1.125807,0.348033,0.330864,65.383944,2328.072851,13874744
113,pperpot_6K-2.tif:0113-0310,0.077184,22385.434783,12631,32968,8.137279,4.007463,8.137915,4.008756,1.081581,0.326311,0.301168,62.637042,1727.805902,10297300
114,pperpot_6K-2.tif:0114-0313,0.094299,23994.738434,8939,34778,10.819965,4.032998,10.818634,4.033119,1.25404,0.384537,0.312234,86.278453,2262.68409,13485043
115,pperpot_6K-2.tif:0115-0346,0.118965,25422.039492,10663,41878,11.379176,4.494074,11.380116,4.492687,1.310299,0.432141,0.350511,92.944752,3024.323275,18024226
116,pperpot_6K-2.tif:0116-0350,0.096816,23804.095321,11733,34796,10.840284,4.524585,10.842096,4.523337,1.301409,0.438986,0.280806,95.596178,2304.618699,13734963
117,pperpot_6K-2.tif:0117-0350,0.150006,25147.687919,10409,37950,1.151583,4.524597,1.155456,4.52783,1.466279,0.455448,0.419354,87.111106,3772.308207,22482033
118,pperpot_6K-2.tif:0118-0348,0.12081,28638.193056,12267,44501,1.668028,4.515414,1.668687,4.516851,1.324173,0.426206,0.360907,102.295992,3459.78966,20619499
119,pperpot_6K-2.tif:0119-0346,0.087252,23707.655769,13433,36475,5.968631,4.503146,5.967339,4.503108,1.168731,0.374606,0.296558,71.327144,2068.538192,12327981
120,pperpot_6K-2.tif:0120-0347,0.115777,22713.015942,8923,36864,11.940988,4.500802,11.94028,4.502089,1.264771,0.410491,0.35911,82.389512,2629.635075,15671981
121,pperpot_6K-2.tif:0121-0350,0.101011,22558.151163,11549,35154,7.618076,4.523168,7.617963,4.522127,1.252738,0.419401,0.306654,105.077106,2278.618302,13580007
122,pperpot_6K-2.tif:0122-0347,0.083225,22522.090726,12447,35488,8.158773,4.515143,8.158284,4.515972,1.121362,0.343191,0.308764,81.153682,1874.398671,11170957
123,pperpot_6K-2.tif:0123-0347,0.090943,23874.765683,14336,32422,10.299267,4.509907,10.300402,4.509889,1.173176,0.373998,0.309608,68.232417,2171.250802,12940123
124,pperpot_6K-2.tif:0124-0350,0.100843,27088.03827,16725,39998,2.761081,4.526502,2.760505,4.525553,1.202226,0.405213,0.316864,89.075203,2731.640945,16279911
125,pperpot_6K-2.tif:0125-0349,0.107555,26952.082683,15939,50078,3.285501,4.528689,3.284476,4.52979,1.249595,0.376852,0.363387,107.502998,2898.824661,17276285
126,pperpot_6K-2.tif:0126-0347,0.08591,24565.701172,10526,35962,4.898407,4.504869,4.899244,4.504391,1.0999,0.349892,0.312621,121.940777,2110.42884,12577639
127,pperpot_6K-2.tif:0127-0350,0.101514,26262.892562,13166,36864,3.805587,4.528176,3.805774,4.52841,1.235721,0.409908,0.31532,125.905704,2666.057545,15889050
128,pperpot_6K-2.tif:0128-0349,0.097152,25557.57513,15213,36470,4.339197,4.518375,4.338543,4.518988,1.16689,0.356782,0.346703,146.098271,2482.960424,14797836
129,pperpot_6K-2.tif:0129-0350,0.1094,24099.765337,12883,41163,5.437831,4.520221,5.436934,4.518523,1.29198,0.378754,0.367767,146.538893,2636.525627,15713047
130,pperpot_6K-2.tif:0130-0348,0.102689,23233.872549,13952,33952,9.755225,4.52353,9.757159,4.522998,1.255342,0.393457,0.332304,166.770783,2385.858111,14219130
131,pperpot_6K-2.tif:0131-0349,0.095809,28207.50613,16384,41615,2.200239,4.521903,2.200717,4.523255,1.173176,0.381435,0.319814,162.309229,2702.541595,16106486
132,pperpot_6K-2.tif:0132-0353,0.106884,23255.529042,14625,33317,6.530242,4.547183,6.531613,4.544884,1.28309,0.408137,0.333438,94.086842,2485.634359,14813772
133,pperpot_6K-2.tif:0133-0349,0.084567,21858.700397,10246,32548,8.704365,4.506596,8.705008,4.505946,1.12895,0.373422,0.288345,37.105909,1848.529822,11016785
134,pperpot_6K-2.tif:0134-0350,0.073493,22369.141553,12061,33691,9.247972,4.544949,9.249124,4.542754,1.063262,0.365838,0.25578,92.402109,1643.974269,9797684
135,pperpot_6K-2.tif:0135-0350,0.079533,22906.512658,14336,34816,7.040397,4.536662,7.040536,4.537072,1.0418,0.325533,0.311075,110.503232,1821.83443,10857687
136,pperpot_6K-2.tif:0136-0386,0.095977,22424.005245,11269,34185,8.143922,5.041229,8.143041,5.043154,1.273661,0.423137,0.2888,78.219044,2152.190959,12826531
137,pperpot_6K-2.tif:0137-0387,0.125509,23509.639037,10427,36864,11.942501,5.027051,11.941478,5.028236,1.342492,0.456862,0.349783,85.227065,2950.659845,17585210
138,pperpot_6K-2.tif:0138-0389,0.149503,28288.251403,13188,47096,1.130811,5.060187,1.134826,5.063449,1.467581,0.473015,0.402425,93.869628,4229.172451,25204832
139,pperpot_6K-2.tif:0139-0387,0.113427,25506.390533,11859,41306,11.375208,5.027744,11.374076,5.028608,1.301409,0.425106,0.339728,82.200852,2893.125601,17242320
140,pperpot_6K-2.tif:0140-0388,0.101011,25736.546512,13149,40712,4.915946,5.056519,4.916873,5.059232,1.243309,0.407719,0.31544,82.431902,2599.670757,15493401
141,pperpot_6K-2.tif:0141-0390,0.106884,23700.637363,12302,37164,5.989857,5.057248,5.989625,5.059967,1.238864,0.423553,0.321302,97.796419,2533.209133,15097306
142,pperpot_6K-2.tif:0142-0387,0.076513,22603.574561,11553,33767,6.503006,5.05415,6.503244,5.053671,1.133395,0.342935,0.284076,56.173764,1729.472077,10307230
143,pperpot_6K-2.tif:0143-0389,0.098158,22432.345299,8726,33721,7.050436,5.053853,7.049584,5.054695,1.206671,0.400029,0.312425,69.982062,2201.923036,13122922
144,pperpot_6K-2.tif:0144-0389,0.095474,22878.782074,12733,34151,7.600005,5.057689,7.602071,5.058204,1.205369,0.386566,0.314464,126.646924,2184.32248,13018027
145,pperpot_6K-2.tif:0145-0389,0.092621,22625.672101,13019,32768,9.215824,5.055064,9.216534,5.055921,1.168731,0.369565,0.319102,47.906577,2095.618164,12489371
146,pperpot_6K-2.tif:0146-0392,0.107555,26146.564743,11277,45654,4.374784,5.073765,4.378456,5.072294,1.257183,0.410662,0.333469,82.488902,2812.187376,16759948
147,pperpot_6K-2.tif:0147-0390,0.102185,23340.490969,12520,35111,9.767558,5.051265,9.767143,5.051938,1.235721,0.401424,0.324112,110.482873,2385.057575,14214359
148,pperpot_6K-2.tif:0148-0389,0.08742,23887.506718,12834,35914,10.286054,5.0586,10.285601,5.059243,1.113774,0.360619,0.308653,70.998867,2088.238666,12445391
149,pperpot_6K-2.tif:0149-0390,0.112589,27784.022355,13075,42992,2.738325,5.066897,2.737631,5.067093,1.290678,0.419555,0.341677,12.081941,3128.161938,18643079
150,pperpot_6K-2.tif:0150-0391,0.098997,27681.083051,16795,40454,2.235526,5.067877,2.235241,5.070398,1.194638,0.363846,0.346431,168.415574,2740.354055,16331839
151,pperpot_6K-2.tif:0151-0390,0.08054,24471.070833,13418,34786,5.449818,5.05274,5.450939,5.052601,1.095455,0.336963,0.304328,106.186389,1970.905489,11746114
152,pperpot_6K-2.tif:0152-0392,0.085574,23360.386275,11270,35045,10.82193,5.085605,10.824341,5.08692,1.12895,0.392671,0.277474,63.925721,1999.041377,11913797
153,pperpot_6K-2.tif:0153-0393,0.09195,26828.14781,14990,41534,3.309822,5.086999,3.309713,5.087241,1.136538,0.373645,0.313331,80.197514,2466.850534,14701825
154,pperpot_6K-2.tif:0154-0392,0.097655,26589.955326,15595,40268,3.820314,5.073305,3.819744,5.071888,1.176319,0.37033,0.335749,34.396013,2596.642612,15475354
155,pperpot_6K-2.tif:0155-0393,0.102857,29976.262643,16919,44614,1.679628,5.076415,1.679938,5.075872,1.209814,0.376362,0.347965,22.553394,3083.25573,18375449
